Time,Lat,Lon,Altitude,Accuracy,Heading,Speed,Battery
2016-02-17 18:18:15 +0000,42.360912,-71.093499,9.525082,25.000000,16.171875,1.620000,0.940000
2016-02-17 18:18:16 +0000,42.360936,-71.093499,9.843655,25.000000,16.875000,1.620000,0.940000
2016-02-17 18:18:17 +0000,42.360963,-71.093502,10.046047,25.000000,15.117188,1.620000,0.940000
2016-02-17 18:18:18 +0000,42.360981,-71.093502,9.623470,25.000000,18.632812,1.580000,0.940000
2016-02-17 18:18:19 +0000,42.360989,-71.093495,9.674801,25.000000,22.851562,1.320000,0.940000
2016-02-17 18:18:20 +0000,42.360994,-71.093487,9.605099,25.000000,35.156250,1.170000,0.940000
2016-02-17 18:18:21 +0000,42.361002,-71.093477,9.223965,25.000000,41.835938,1.240000,0.940000
2016-02-17 18:18:22 +0000,42.360996,-71.093456,8.646908,25.000000,54.140625,1.190000,0.940000
2016-02-17 18:18:23 +0000,42.360998,-71.093442,8.751522,25.000000,58.007812,1.190000,0.940000
2016-02-17 18:18:24 +0000,42.360995,-71.093426,8.962948,25.000000,68.203125,1.110000,0.940000
2016-02-17 18:18:25 +0000,42.360991,-71.093408,8.981686,25.000000,66.445312,1.150000,0.940000
2016-02-17 18:18:26 +0000,42.360993,-71.093397,8.735256,25.000000,65.742188,1.150000,0.940000
2016-02-17 18:18:27 +0000,42.361003,-71.093391,8.871792,25.000000,52.031250,1.150000,0.940000
2016-02-17 18:18:28 +0000,42.361008,-71.093381,8.350674,25.000000,45.000000,1.100000,0.940000
2016-02-17 18:18:29 +0000,42.361011,-71.093371,8.581692,25.000000,47.460938,1.070000,0.940000
2016-02-17 18:18:30 +0000,42.361024,-71.093368,8.741909,25.000000,45.351562,1.220000,0.940000
2016-02-17 18:18:31 +0000,42.361032,-71.093361,8.691036,25.000000,40.429688,1.220000,0.940000
2016-02-17 18:18:32 +0000,42.361041,-71.093357,8.466946,25.000000,28.828125,1.130000,0.940000
2016-02-17 18:18:33 +0000,42.361041,-71.093345,8.464718,25.000000,39.375000,1.050000,0.940000
2016-02-17 18:18:34 +0000,42.361037,-71.093329,8.523342,25.000000,48.515625,1.080000,0.940000
2016-02-17 18:18:35 +0000,42.361033,-71.093310,8.251644,25.000000,63.984375,1.120000,0.940000
2016-02-17 18:18:36 +0000,42.361025,-71.093289,8.068722,25.000000,70.312500,1.120000,0.940000
2016-02-17 18:18:37 +0000,42.361023,-71.093273,7.970150,25.000000,68.906250,1.050000,0.940000
2016-02-17 18:18:38 +0000,42.361022,-71.093257,7.920437,25.000000,64.687500,1.010000,0.940000
2016-02-17 18:18:39 +0000,42.361022,-71.093238,8.044064,25.000000,59.414062,1.010000,0.940000
2016-02-17 18:18:40 +0000,42.361023,-71.093223,7.622585,25.000000,58.710938,1.030000,0.940000
2016-02-17 18:18:41 +0000,42.361024,-71.093209,7.498348,25.000000,55.546875,1.030000,0.940000
2016-02-17 18:18:42 +0000,42.361028,-71.093200,7.504818,25.000000,46.054688,0.850000,0.940000
2016-02-17 18:18:43 +0000,42.361035,-71.093190,7.179440,25.000000,37.617188,0.850000,0.940000
2016-02-17 18:18:44 +0000,42.361043,-71.093179,7.020779,25.000000,38.320312,1.070000,0.940000
2016-02-17 18:18:45 +0000,42.361048,-71.093168,6.868435,25.000000,44.296875,0.940000,0.940000
2016-02-17 18:18:46 +0000,42.361048,-71.093154,6.999081,25.000000,54.140625,1.090000,0.940000
2016-02-17 18:18:47 +0000,42.361050,-71.093141,7.019314,25.000000,56.601562,1.000000,0.940000
2016-02-17 18:18:48 +0000,42.361050,-71.093126,7.067410,25.000000,57.304688,1.040000,0.940000
2016-02-17 18:18:49 +0000,42.361052,-71.093110,6.922451,25.000000,55.546875,1.120000,0.940000
2016-02-17 18:18:50 +0000,42.361049,-71.093091,6.958370,25.000000,62.929688,1.170000,0.940000
2016-02-17 18:18:51 +0000,42.361047,-71.093071,6.645687,25.000000,69.257812,1.170000,0.940000
2016-02-17 18:18:52 +0000,42.361048,-71.093053,6.725307,25.000000,73.476562,1.170000,0.940000
2016-02-17 18:18:53 +0000,42.361049,-71.093035,6.810757,25.000000,70.312500,1.190000,0.940000
2016-02-17 18:18:54 +0000,42.361055,-71.093021,7.146420,25.000000,61.171875,1.170000,0.940000
2016-02-17 18:18:55 +0000,42.361059,-71.093005,6.950771,25.000000,59.414062,1.220000,0.940000
2016-02-17 18:18:56 +0000,42.361062,-71.092988,6.846951,25.000000,62.226562,1.210000,0.940000
2016-02-17 18:18:57 +0000,42.361069,-71.092974,7.004543,25.000000,60.820312,1.210000,0.940000
2016-02-17 18:18:58 +0000,42.361077,-71.092961,6.994411,25.000000,55.898438,1.200000,0.940000
2016-02-17 18:18:59 +0000,42.361084,-71.092945,7.207424,25.000000,52.734375,1.220000,0.940000
2016-02-17 18:19:00 +0000,42.361094,-71.092931,7.287075,25.000000,55.195312,1.220000,0.940000
2016-02-17 18:19:01 +0000,42.361099,-71.092914,7.394314,25.000000,56.953125,1.220000,0.940000
2016-02-17 18:19:02 +0000,42.361108,-71.092906,7.089321,25.000000,53.085938,1.220000,0.940000
2016-02-17 18:19:03 +0000,42.361116,-71.092897,7.304409,25.000000,54.843750,1.120000,0.940000
2016-02-17 18:19:04 +0000,42.361122,-71.092885,7.058010,25.000000,54.492188,1.220000,0.940000
2016-02-17 18:19:05 +0000,42.361127,-71.092872,6.785244,25.000000,57.656250,1.170000,0.940000
2016-02-17 18:19:06 +0000,42.361133,-71.092861,7.087643,25.000000,57.656250,1.220000,0.940000
